rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,exact_match_papers,initial_match_papers
86,A5100336796,Jing Li,Jing Li,6,3212,0.19,2022,2024,2.0,https://orcid.org/0000-0001-7792-4322,High,6,0
87,A5100601412,Jun Li,Jun Li,6,209,2.87,2019,2020,0.5,https://orcid.org/0000-0003-4180-9853,High,6,0
88,A5108651569,Jun Lü,Jun Lu,6,225,2.67,2023,2024,3.0,https://orcid.org/0009-0000-6292-2252,High,6,0
89,A5100384671,Jun Wang,Jun Wang,6,1534,0.39,2010,2024,4.0,https://orcid.org/0000-0001-9957-9208,High,6,0
90,A5100384716,Jun Wang,Jun Wang,6,408,1.47,2021,2022,2.5,https://orcid.org/0000-0002-3465-784X,High,6,0
91,A5100368058,Na Li,Na Li,6,2509,0.24,2010,2024,3.5,https://orcid.org/0000-0002-0392-6672,High,6,0
92,A5100435520,Ping Li,Ping Li,6,1058,0.57,2018,2024,2.5,https://orcid.org/0000-0002-4926-3835,High,6,0
93,A5100338606,Ping Wang,Ping Wang,6,256,2.34,2020,2024,5.5,https://orcid.org/0000-0001-7259-9284,High,6,0
94,A5100338632,Ping Wang,Ping Wang,6,2050,0.29,2020,2026,3.0,https://orcid.org/0000-0002-1557-0394,High,6,0
95,A5057540096,Qian Wang,Qian Wang,6,241,2.49,2023,2023,1.5,https://orcid.org/0000-0002-5031-0686,High,6,0
96,A5100455312,Tao Li,Tao Li,6,1075,0.56,2022,2023,1.5,https://orcid.org/0000-0002-5108-1774,High,6,0
97,A5100322712,Yan Wang,Yan Wang; Yang Wang,6,1943,0.31,2010,2024,1.0,https://orcid.org/0000-0002-5344-1884,High,6,0
98,A5100322879,Yang Wang,Yang Wang,6,735,0.82,2019,2024,2.5,https://orcid.org/0000-0003-0842-2446,High,6,0
99,A5100397510,Yang Yang,Yang Yang,6,854,0.7,2019,2026,3.0,https://orcid.org/0000-0002-1163-2359,High,6,0
100,A5100372343,Bin Wang,Bin Wang,5,893,0.56,2011,2023,1,https://orcid.org/0000-0002-2712-9045,High,5,0
101,A5100407980,Bo Wang,Bo Wang,5,40,12.5,2022,2024,4,https://orcid.org/0000-0001-5654-6617,High,5,0
102,A5100656516,Dong‐Mei Wu,Dong Mei Wu,5,37,13.51,2021,2022,3,https://orcid.org/0000-0002-1816-1107,High,5,0
103,A5080102032,Hao Wang,Hao Wang,5,3701,0.14,2009,2022,0,https://orcid.org/0000-0001-7594-7387,High,5,0
104,A5100370972,Hong Wang,Hong Wang,5,1249,0.4,2017,2023,1,https://orcid.org/0000-0003-0477-2908,High,5,0
105,A5069097747,Hui Li,Hui Li,5,439,1.14,2017,2024,2,https://orcid.org/0000-0002-4611-7808,High,5,0
106,A5100460917,Hui Wang,Hui Wang,5,2378,0.21,2011,2023,1,https://orcid.org/0000-0003-2633-6015,High,5,0
107,A5100323524,Hui Zhang,Hui Zhang,5,56,8.93,2020,2025,4,https://orcid.org/0000-0003-0670-9478,High,5,0
108,A5100370559,Jian Wang,Jian Wang,5,1348,0.37,2021,2024,6,https://orcid.org/0000-0003-2291-640X,High,5,0
109,A5115601814,Jie Chen,Jie Chen,5,670,0.75,2019,2024,2,https://orcid.org/0000-0003-0266-0929,High,5,0
110,A5100428322,Jie Li,Jie Li,5,1434,0.35,2022,2025,2,https://orcid.org/0000-0003-0973-8645,High,5,0
111,A5100436719,Jie Zhang,Jie Zhang,5,431,1.16,2020,2024,5,https://orcid.org/0000-0002-2497-725X,High,5,0
112,A5100394807,Jing Chen,Jing Chen,5,646,0.77,2016,2025,1,https://orcid.org/0000-0001-5972-3623,High,5,0
113,A5119272186,Jing Liu,Jing Liu,5,1760,0.28,2021,2025,3,https://orcid.org/0000-0002-3255-3019,High,5,0
114,A5100378341,Jing Wang,Jing Wang,5,1453,0.34,2023,2026,2,https://orcid.org/0000-0001-7199-4784,High,5,0
115,A5100378656,Jing Wang,Jing Wang,5,960,0.52,2023,2025,1,https://orcid.org/0000-0003-1580-1356,High,5,0
116,A5062617254,Jing Zhang,Jing Zhang,5,457,1.09,2010,2023,0,https://orcid.org/0000-0001-7525-2075,High,5,0
117,A5100420987,Juan Li,Juan Li,5,1058,0.47,2011,2023,1,https://orcid.org/0000-0001-8320-2406,High,5,0
118,A5100362092,Jun Li,Jun Li,5,247,2.02,2009,2024,1,https://orcid.org/0000-0003-3519-8638,High,5,0
119,A5100400217,Jun Zhang,Jun Zhang,5,2869,0.17,2010,2025,1,https://orcid.org/0000-0001-7835-9871,High,5,0
120,A5006134468,Liang Wang,Liang Wang,5,1332,0.38,2010,2023,0,https://orcid.org/0000-0001-9023-0296,High,5,0
