rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,exact_match_papers,initial_match_papers
2057,A5100440119,Jie Wang,Jie Wang,1,15,6.67,2011,2011,0,https://orcid.org/0000-0002-7489-9755,High,1,0
2058,A5100440139,Jie Wang,Jie Wang,1,75,1.33,2021,2021,0,https://orcid.org/0000-0002-9376-3861,High,1,0
2059,A5100440164,Jie Wang,Jie Wang,1,548,0.18,2018,2018,0,https://orcid.org/0000-0003-1172-1551,High,1,0
2060,A5100440167,Jie Wang,Jie Wang,1,34,2.94,2022,2022,22,https://orcid.org/0000-0003-1645-0981,High,1,0
2061,A5100440179,Jie Wang,Jie Wang,1,34,2.94,2023,2023,1,https://orcid.org/0000-0003-2806-915X,High,1,0
2062,A5100440182,Jie Wang,Jie Wang,1,297,0.34,2011,2011,0,https://orcid.org/0000-0003-3070-7982,High,1,0
2063,A5100440186,Jie Wang,Jie Wang,1,113,0.88,2024,2024,5,https://orcid.org/0000-0003-3357-5743,High,1,0
2064,A5100628874,Jie Wang,Jie Wang,1,143,0.7,2025,2025,6,https://orcid.org/0000-0002-9097-7864,High,1,0
2065,A5100628877,Jie Wang,Jie Wang,1,58,1.72,2025,2025,4,https://orcid.org/0000-0003-1896-4871,High,1,0
2066,A5100772694,Jie Wang,Jie Wang,1,28,3.57,2023,2023,5,https://orcid.org/0000-0002-7021-1597,High,1,0
2067,A5100964711,Jie Wang,Jie Wang,1,6,16.67,2021,2021,1,https://orcid.org/0009-0006-8245-0057,High,1,0
2068,A5103073589,Jie Wang,Jie Wang,1,33,3.03,2023,2023,3,https://orcid.org/0000-0003-1215-2733,High,1,0
2069,A5103184233,Jie Wang,Jie Wang,1,23,4.35,2023,2023,1,https://orcid.org/0000-0003-3423-772X,High,1,0
2070,A5115602045,Jie Wang,Jie Wang,1,369,0.27,2023,2023,1,https://orcid.org/0000-0002-2997-3450,High,1,0
2071,A5000201876,Jie Zhang,Jie Zhang,1,47,2.13,2010,2010,0,https://orcid.org/0000-0001-8919-3328,High,1,0
2072,A5007661986,Jie Zhang,Jie Zhang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-2796-178X,High,1,0
2073,A5023191101,Jie Zhang,Jie Zhang,1,272,0.37,2024,2024,2,https://orcid.org/0000-0003-3831-2993,High,1,0
2074,A5032721022,Jie Zhang,Jie Zhang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-9035-646X,High,1,0
2075,A5033645349,Jie Zhang,Jie Zhang,1,93,1.08,2023,2023,2,https://orcid.org/0000-0003-1572-8339,High,1,0
2076,A5050813384,Jie Zhang,Jie Zhang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-1957-8748,High,1,0
2077,A5058647077,Jie Zhang,Jie Zhang,1,88,1.14,2023,2023,1,https://orcid.org/0000-0001-7415-7869,High,1,0
2078,A5070341270,Jie Zhang,Jie Zhang,1,35,2.86,2021,2021,0,https://orcid.org/0000-0001-7455-0492,High,1,0
2079,A5077478614,Jie Zhang,Jie Zhang,1,254,0.39,2021,2021,0,,Probable,1,0
2080,A5083177876,Jie Zhang,Jie Zhang,1,187,0.53,2015,2015,4,https://orcid.org/0000-0002-8683-7615,High,1,0
2081,A5091402216,Jie Zhang,Jie Zhang,1,3,33.33,2023,2023,1,https://orcid.org/0000-0002-7792-9411,High,1,0
2082,A5100436606,Jie Zhang,Jie Zhang,1,33,3.03,2023,2023,1,https://orcid.org/0000-0001-5676-4438,High,1,0
2083,A5100436620,Jie Zhang,Jie Zhang,1,211,0.47,2024,2024,4,https://orcid.org/0000-0001-6795-8000,High,1,0
2084,A5100436622,Jie Zhang,Jie Zhang,1,13,7.69,2020,2020,0,https://orcid.org/0000-0001-6900-5393,High,1,0
2085,A5100436638,Jie Zhang,Jie Zhang,1,387,0.26,2010,2010,0,https://orcid.org/0000-0001-7739-9257,High,1,0
2086,A5100436699,Jie Zhang,Jie Zhang,1,54,1.85,2017,2017,5,https://orcid.org/0000-0002-1164-590X,High,1,0
2087,A5100436703,Jie Zhang,Jie Zhang,1,25,4.0,2023,2023,1,https://orcid.org/0000-0002-1340-646X,High,1,0
2088,A5100436756,Jie Zhang,Jie Zhang,1,337,0.3,2025,2025,6,https://orcid.org/0000-0002-5315-3815,High,1,0
2089,A5100436760,Jie Zhang,Jie Zhang,1,590,0.17,2023,2023,1,https://orcid.org/0000-0002-5348-7671,High,1,0
2090,A5100436762,Jie Zhang,Jie Zhang,1,38,2.63,2024,2024,2,https://orcid.org/0000-0002-5372-6548,High,1,0
2091,A5100436808,Jie Zhang,Jie Zhang,1,140,0.71,2022,2022,0,https://orcid.org/0000-0002-8190-9616,High,1,0
2092,A5100436831,Jie Zhang,Jie Zhang,1,6,16.67,2023,2023,2,https://orcid.org/0000-0002-9858-941X,High,1,0
2093,A5100436833,Jie Zhang,Jie Zhang,1,268,0.37,2021,2021,2,https://orcid.org/0000-0002-9941-1568,High,1,0
2094,A5100436846,Jie Zhang,Jie Zhang,1,15,6.67,2024,2024,3,https://orcid.org/0000-0003-1063-048X,High,1,0
2095,A5100604078,Jie Zhang,Jie Zhang,1,538,0.19,2024,2024,3,https://orcid.org/0000-0002-0530-3954,High,1,0
2096,A5100632990,Jie Zhang,Jie Zhang,1,43,2.33,2010,2010,0,https://orcid.org/0000-0003-0564-0341,High,1,0
2097,A5100662642,Jie Zhang,Jie Zhang,1,24,4.17,2011,2011,0,https://orcid.org/0009-0008-4486-9070,High,1,0
2098,A5100697144,Jie Zhang,Jie Zhang,1,154,0.65,2011,2011,0,https://orcid.org/0000-0002-5482-4297,High,1,0
2099,A5100722246,Jie Zhang,Jie Zhang,1,49,2.04,2023,2023,1,https://orcid.org/0000-0002-6608-8207,High,1,0
2100,A5100753720,Jie Zhang,Jie Zhang,1,111,0.9,2010,2010,0,https://orcid.org/0000-0002-1078-1766,High,1,0
2101,A5101467140,Jie Zhang,Jie Zhang,1,147,0.68,2025,2025,1,https://orcid.org/0000-0002-1704-1795,High,1,0
2102,A5101711826,Jie Zhang,Jie Zhang,1,225,0.44,2022,2022,3,https://orcid.org/0000-0001-9803-7140,High,1,0
2103,A5104668712,Jie Zhang,Jie Zhang,1,72,1.39,2017,2017,3,https://orcid.org/0000-0002-6802-9251,High,1,0
2104,A5112890524,Jie Zhang,Jie Zhang,1,73,1.37,2020,2020,1,https://orcid.org/0000-0003-0969-5091,High,1,0
2105,A5066560263,Jie liu,Jie Liu,1,1,100.0,2022,2022,3,https://orcid.org/0000-0002-6481-8114,High,1,0
2106,A5020749950,Jin Wang,Jin Wang,1,86,1.16,2018,2018,3,https://orcid.org/0000-0002-1082-7314,High,1,0
2107,A5033828504,Jin Wang,Jin Wang,1,529,0.19,2011,2011,0,https://orcid.org/0000-0002-0250-7409,High,1,0
2108,A5052202371,Jin Wang,Jin Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-4623-1774,High,1,0
2109,A5058930191,Jin Wang,Jin Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-5504-253X,High,1,0
2110,A5074256336,Jin Wang,Jin Wang,1,811,0.12,2024,2024,1,https://orcid.org/0000-0002-3103-1083,High,1,0
2111,A5100346122,Jin Wang,Jin Wang,1,118,0.85,2022,2022,1,https://orcid.org/0000-0001-8337-0434,High,1,0
2112,A5100346163,Jin Wang,Jin Wang,1,347,0.29,2024,2024,9,https://orcid.org/0000-0002-4924-1716,High,1,0
2113,A5100346172,Jin Wang,Jin Wang,1,291,0.34,2010,2010,0,https://orcid.org/0000-0002-5985-5180,High,1,0
2114,A5100346173,Jin Wang,Jin Wang,1,99,1.01,2023,2023,3,https://orcid.org/0000-0002-6018-4994,High,1,0
2115,A5100346174,Jin Wang,Jin Wang,1,17,5.88,2022,2022,1,https://orcid.org/0000-0002-6412-2328,High,1,0
2116,A5100346179,Jin Wang,Jin Wang,1,31,3.23,2021,2021,0,https://orcid.org/0000-0002-6877-6572,High,1,0
2117,A5100346183,Jin Wang,Jin Wang,1,488,0.2,2022,2022,2,https://orcid.org/0000-0002-7638-8537,High,1,0
2118,A5100346201,Jin Wang,Jin Wang,1,116,0.86,2023,2023,1,https://orcid.org/0000-0003-0766-9906,High,1,0
2119,A5100346219,Jin Wang,Jin Wang,1,3,33.33,2023,2023,2,https://orcid.org/0000-0003-3870-1438,High,1,0
2120,A5100637532,Jin Wang,Jin Wang,1,200,0.5,2023,2023,5,https://orcid.org/0000-0002-9095-4435,High,1,0
2121,A5100637534,Jin Wang,Jin Wang,1,36,2.78,2025,2025,2,https://orcid.org/0000-0003-4192-2784,High,1,0
2122,A5100667879,Jin Wang,Jin Wang,1,49,2.04,2022,2022,5,https://orcid.org/0000-0001-5527-0102,High,1,0
2123,A5100731973,Jin Wang,Jin Wang,1,161,0.62,2025,2025,5,https://orcid.org/0000-0002-7957-5282,High,1,0
2124,A5100786107,Jin Wang,Jin Wang,1,105,0.95,2023,2023,1,https://orcid.org/0000-0002-1695-4875,High,1,0
2125,A5101575662,Jin Wang,Jin Wang,1,42,2.38,2023,2023,2,https://orcid.org/0000-0002-4334-3228,High,1,0
2126,A5101681466,Jin Wang,Jin Wang,1,66,1.52,2023,2023,2,https://orcid.org/0000-0001-5418-2338,High,1,0
2127,A5101851212,Jin Wang,Jin Wang,1,7,14.29,2025,2025,7,https://orcid.org/0000-0002-0501-4992,High,1,0
2128,A5102006736,Jin Wang,Jin Wang,1,23,4.35,2021,2021,1,https://orcid.org/0000-0003-0469-1868,High,1,0
2129,A5016607393,Jin Zhang,Jin Zhang,1,67,1.49,2023,2023,4,https://orcid.org/0000-0002-0825-3710,High,1,0
2130,A5030853272,Jin Zhang,Jin Zhang,1,76,1.32,2011,2011,0,https://orcid.org/0000-0001-7021-3165,High,1,0
2131,A5031388726,Jin Zhang,Jin Zhang,1,266,0.38,2019,2019,0,https://orcid.org/0000-0003-0197-3624,High,1,0
2132,A5047095866,Jin Zhang,Jin Zhang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-9967-1685,High,1,0
2133,A5064733360,Jin Zhang,Jin Zhang,1,437,0.23,2020,2020,6,https://orcid.org/0000-0002-6835-920X,High,1,0
2134,A5085389749,Jin Zhang,Jin Zhang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-3622-7034,High,1,0
2135,A5100405903,Jin Zhang,Jin Zhang,1,162,0.62,2024,2024,4,https://orcid.org/0000-0001-6583-2391,High,1,0
2136,A5100405907,Jin Zhang,Jin Zhang,1,561,0.18,2023,2023,1,https://orcid.org/0000-0001-7145-7823,High,1,0
2137,A5100405908,Jin Zhang,Jin Zhang,1,91,1.1,2024,2024,4,https://orcid.org/0000-0001-7241-0760,High,1,0
2138,A5100405920,Jin Zhang,Jin Zhang,1,11,9.09,2025,2025,4,https://orcid.org/0009-0007-8921-7159,High,1,0
2139,A5100405935,Jin Zhang,Jin Zhang,1,52,1.92,2013,2013,1,https://orcid.org/0000-0002-0874-5379,High,1,0
2140,A5100405936,Jin Zhang,Jin Zhang,1,529,0.19,2012,2012,2,https://orcid.org/0000-0002-0946-5520,High,1,0
2141,A5100405947,Jin Zhang,Jin Zhang,1,396,0.25,2023,2023,1,https://orcid.org/0000-0002-2566-7501,High,1,0
2142,A5100405955,Jin Zhang,Jin Zhang,1,78,1.28,2022,2022,4,https://orcid.org/0000-0002-3584-5527,High,1,0
2143,A5100405985,Jin Zhang,Jin Zhang,1,48,2.08,2017,2017,2,https://orcid.org/0000-0002-7303-1559,High,1,0
2144,A5100405991,Jin Zhang,Jin Zhang,1,599,0.17,2022,2022,1,https://orcid.org/0000-0002-8397-5078,High,1,0
2145,A5100406017,Jin Zhang,Jin Zhang,1,23,4.35,2020,2020,1,https://orcid.org/0000-0003-3887-7492,High,1,0
2146,A5100406019,Jin Zhang,Jin Zhang,1,73,1.37,2010,2010,1,https://orcid.org/0000-0003-4199-5641,High,1,0
2147,A5100704177,Jin Zhang,Jin Zhang,1,145,0.69,2011,2011,0,https://orcid.org/0000-0002-1374-598X,High,1,0
2148,A5100717978,Jin Zhang,Jin Zhang,1,70,1.43,2011,2011,0,https://orcid.org/0000-0002-7752-8538,High,1,0
2149,A5100735527,Jin Zhang,Jin Zhang,1,95,1.05,2023,2023,1,https://orcid.org/0000-0001-9001-1931,High,1,0
2150,A5101533110,Jin Zhang,Jin Zhang,1,34,2.94,2009,2009,0,https://orcid.org/0000-0002-3285-8947,High,1,0
2151,A5101829311,Jin Zhang,Jin Zhang,1,80,1.25,2010,2010,0,https://orcid.org/0000-0001-9086-1178,High,1,0
2152,A5013585741,Jing Chen,Jing Chen,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-1989-5647,High,1,0
2153,A5023162457,Jing Chen,Jing Chen,1,11,9.09,2023,2023,2,https://orcid.org/0000-0002-0046-2542,High,1,0
2154,A5026909961,Jing Chen,Jing Chen,1,42,2.38,2023,2023,5,https://orcid.org/0000-0002-0763-3340,High,1,0
2155,A5029996983,Jing Chen,Jing Chen,1,1,100.0,2023,2023,2,https://orcid.org/0000-0002-3200-2305,High,1,0
2156,A5045655535,Jing Chen,Jing Chen,1,3,33.33,2023,2023,1,https://orcid.org/0000-0002-4330-4106,High,1,0
2157,A5046226427,Jing Chen,Jing Chen,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-0954-7374,High,1,0
2158,A5075203798,Jing Chen,Jing Chen,1,1,100.0,2024,2024,2,https://orcid.org/0000-0003-4112-0378,High,1,0
2159,A5080214623,Jing Chen,Jing Chen,1,2,50.0,2023,2023,1,https://orcid.org/0000-0002-7238-5224,High,1,0
2160,A5100394798,Jing Chen,Jing Chen,1,298,0.34,2025,2025,2,https://orcid.org/0000-0001-5216-3061,High,1,0
2161,A5100394804,Jing Chen,Jing Chen,1,831,0.12,2022,2022,3,https://orcid.org/0000-0001-5637-1829,High,1,0
2162,A5100394817,Jing Chen,Jing Chen,1,200,0.5,2024,2024,3,https://orcid.org/0000-0001-7130-7331,High,1,0
2163,A5100394824,Jing Chen,Jing Chen,1,114,0.88,2022,2022,2,https://orcid.org/0000-0001-7846-2537,High,1,0
2164,A5100394850,Jing Chen,Jing Chen,1,41,2.44,2023,2023,1,https://orcid.org/0000-0001-9776-9470,High,1,0
2165,A5100394874,Jing Chen,Jing Chen,1,128,0.78,2022,2022,3,https://orcid.org/0000-0002-2451-5928,High,1,0
2166,A5100394877,Jing Chen,Jing Chen,1,390,0.26,2024,2024,0,https://orcid.org/0000-0002-2681-0349,High,1,0
2167,A5100394889,Jing Chen,Jing Chen,1,380,0.26,2023,2023,1,https://orcid.org/0000-0002-3297-9183,High,1,0
2168,A5100394895,Jing Chen,Jing Chen,1,161,0.62,2022,2022,6,https://orcid.org/0000-0002-4037-7158,High,1,0
2169,A5100394898,Jing Chen,Jing Chen,1,11,9.09,2025,2025,6,https://orcid.org/0000-0002-4959-1759,High,1,0
2170,A5100394923,Jing Chen,Jing Chen,1,87,1.15,2023,2023,1,https://orcid.org/0000-0002-7611-4173,High,1,0
2171,A5100394935,Jing Chen,Jing Chen,1,350,0.29,2023,2023,1,https://orcid.org/0000-0002-9035-9126,High,1,0
2172,A5100394941,Jing Chen,Jing Chen,1,54,1.85,2012,2012,0,https://orcid.org/0009-0005-9407-6560,High,1,0
2173,A5100394946,Jing Chen,Jing Chen,1,166,0.6,2019,2019,0,https://orcid.org/0000-0002-9874-8150,High,1,0
2174,A5100394972,Jing Chen,Jing Chen,1,14,7.14,2023,2023,2,https://orcid.org/0000-0003-2141-2234,High,1,0
2175,A5100394977,Jing Chen,Jing Chen,1,310,0.32,2023,2023,8,https://orcid.org/0000-0003-2895-700X,High,1,0
2176,A5100394986,Jing Chen,Jing Chen,1,36,2.78,2025,2025,2,https://orcid.org/0000-0003-3764-4339,High,1,0
2177,A5100621763,Jing Chen,Jing Chen,1,40,2.5,2023,2023,1,https://orcid.org/0000-0003-4903-0668,High,1,0
2178,A5100714129,Jing Chen,Jing Chen,1,11,9.09,2013,2013,0,https://orcid.org/0000-0002-6238-6696,High,1,0
2179,A5100783106,Jing Chen,Jing Chen,1,98,1.02,2023,2023,1,https://orcid.org/0000-0001-5689-4742,High,1,0
2180,A5101426633,Jing Chen,Jing Chen,1,69,1.45,2011,2011,0,https://orcid.org/0000-0002-8994-474X,High,1,0
2181,A5101443725,Jing Chen,Jing Chen,1,32,3.12,2021,2021,0,https://orcid.org/0000-0002-6742-0312,High,1,0
2182,A5103116435,Jing Chen,Jing Chen,1,116,0.86,2011,2011,0,https://orcid.org/0000-0003-2395-6120,High,1,0
2183,A5115600572,Jing Chen,Jing Chen,1,23,4.35,2010,2010,0,https://orcid.org/0009-0007-4147-3145,High,1,0
2184,A5005528787,Jing Li,Jing Li,1,325,0.31,2010,2010,0,https://orcid.org/0000-0003-2002-4512,High,1,0
2185,A5009045763,Jing Li,Jing Li,1,5,20.0,2023,2023,1,https://orcid.org/0000-0002-6547-1810,High,1,0
2186,A5012870940,Jing Li,Jing Li,1,356,0.28,2020,2020,0,https://orcid.org/0000-0001-9796-3353,High,1,0
2187,A5015857920,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-9452-1557,High,1,0
2188,A5016970221,Jing Li,Jing Li,1,3,33.33,2023,2023,1,https://orcid.org/0000-0001-6987-1515,High,1,0
2189,A5022147727,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-5408-927X,High,1,0
2190,A5022385871,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-7821-8822,High,1,0
2191,A5023343562,Jing Li,Jing Li,1,1,100.0,2023,2023,1,,Probable,1,0
2192,A5023886785,Jing Li,Jing Li,1,3,33.33,2023,2023,1,https://orcid.org/0000-0002-6385-8739,High,1,0
2193,A5024688954,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-3802-4185,High,1,0
2194,A5033612860,Jing Li,Jing Li,1,63,1.59,2024,2024,2,https://orcid.org/0000-0002-1397-4491,High,1,0
2195,A5035333902,Jing Li,Jing Li,1,26,3.85,2023,2023,1,https://orcid.org/0000-0001-7256-8306,High,1,0
2196,A5038945598,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-7307-1297,High,1,0
2197,A5042780587,Jing Li,Jing Li,1,175,0.57,2026,2026,10,https://orcid.org/0000-0001-5173-0781,High,1,0
2198,A5044108299,Jing Li,Jing Li,1,361,0.28,2010,2010,1,https://orcid.org/0000-0003-0353-1037,High,1,0
2199,A5050427570,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-9128-8940,High,1,0
2200,A5053341916,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-9992-024X,High,1,0
2201,A5071059599,Jing Li,Jing Li,1,48,2.08,2025,2025,4,https://orcid.org/0000-0002-7019-546X,High,1,0
2202,A5072013177,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-9762-5805,High,1,0
2203,A5079369822,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-8155-6112,High,1,0
2204,A5084898086,Jing Li,Jing Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-7951-0238,High,1,0
2205,A5089549247,Jing Li,Jing Li,1,38,2.63,2023,2023,1,https://orcid.org/0000-0001-8354-991X,High,1,0
2206,A5100336752,Jing Li,Jing Li,1,70,1.43,2013,2013,0,https://orcid.org/0000-0001-5437-927X,High,1,0
2207,A5100336756,Jing Li,Jing Li,1,254,0.39,2018,2018,3,https://orcid.org/0000-0001-5697-9527,High,1,0
2208,A5100336761,Jing Li,Jing Li,1,83,1.2,2023,2023,1,https://orcid.org/0000-0001-5878-6964,High,1,0
2209,A5100336765,Jing Li,Jing Li,1,17,5.88,2023,2023,2,https://orcid.org/0000-0001-6033-6671,High,1,0
2210,A5100336800,Jing Li,Jing Li,1,117,0.85,2021,2021,3,https://orcid.org/0000-0001-8133-507X,High,1,0
2211,A5100336825,Jing Li,Jing Li,1,92,1.09,2015,2015,1,https://orcid.org/0000-0001-9250-7017,High,1,0
2212,A5100336827,Jing Li,Jing Li,1,1754,0.06,2022,2022,4,https://orcid.org/0000-0001-9392-6600,High,1,0
2213,A5100336830,Jing Li,Jing Li,1,260,0.38,2022,2022,4,https://orcid.org/0000-0001-9588-5291,High,1,0
2214,A5100336868,Jing Li,Jing Li,1,103,0.97,2014,2014,0,https://orcid.org/0000-0002-0288-7296,High,1,0
2215,A5100336869,Jing Li,Jing Li,1,283,0.35,2021,2021,3,https://orcid.org/0000-0002-0319-9700,High,1,0
2216,A5100336895,Jing Li,Jing Li,1,170,0.59,2024,2024,1,https://orcid.org/0000-0002-2037-5817,High,1,0
2217,A5100336899,Jing Li,Jing Li,1,28,3.57,2021,2021,1,https://orcid.org/0000-0002-2211-2682,High,1,0
2218,A5100336919,Jing Li,Jing Li,1,156,0.64,2023,2023,1,https://orcid.org/0000-0002-3626-5815,High,1,0
2219,A5100336920,Jing Li,Jing Li,1,522,0.19,2016,2016,1,https://orcid.org/0000-0002-3681-4095,High,1,0
2220,A5100336928,Jing Li,Jing Li,1,69,1.45,2023,2023,1,https://orcid.org/0000-0002-4097-9669,High,1,0
2221,A5100336938,Jing Li,Jing Li,1,252,0.4,2011,2011,0,https://orcid.org/0000-0002-4770-9311,High,1,0
2222,A5100336949,Jing Li,Jing Li,1,57,1.75,2022,2022,1,https://orcid.org/0000-0002-5697-8353,High,1,0
2223,A5100336952,Jing Li,Jing Li,1,47,2.13,2023,2023,2,https://orcid.org/0000-0002-5847-3957,High,1,0
2224,A5100336971,Jing Li,Jing Li,1,560,0.18,2022,2022,1,https://orcid.org/0000-0002-6860-6135,High,1,0
2225,A5100336974,Jing Li,Jing Li,1,326,0.31,2018,2018,0,https://orcid.org/0000-0002-6945-9851,High,1,0
2226,A5100336982,Jing Li,Jing Li,1,351,0.28,2024,2024,2,https://orcid.org/0000-0002-7295-3033,High,1,0
2227,A5100336992,Jing Li,Jing Li,1,13,7.69,2024,2024,3,https://orcid.org/0000-0002-7859-9215,High,1,0
2228,A5100337007,Jing Li,Jing Li,1,305,0.33,2022,2022,3,https://orcid.org/0000-0002-8311-7698,High,1,0
2229,A5100337048,Jing Li,Jing Li,1,145,0.69,2017,2017,2,https://orcid.org/0000-0003-0882-9860,High,1,0
2230,A5100337087,Jing Li,Jing Li,1,61,1.64,2024,2024,4,https://orcid.org/0000-0003-2777-2572,High,1,0
2231,A5100337091,Jing Li,Jing Li,1,26,3.85,2024,2024,13,https://orcid.org/0000-0003-2847-1499,High,1,0
2232,A5100337108,Jing Li,Jing Li,1,34,2.94,2023,2023,10,https://orcid.org/0000-0003-3654-9831,High,1,0
2233,A5100337136,Jing Li,Jing Li,1,117,0.85,2023,2023,1,https://orcid.org/0000-0003-4636-5294,High,1,0
2234,A5100337145,Jing Li,Jing Li,1,164,0.61,2020,2020,2,https://orcid.org/0009-0003-2507-1606,High,1,0
2235,A5100337852,Jing Li,Jing Li,1,191,0.52,2023,2023,1,https://orcid.org/0000-0001-7986-0078,High,1,0
2236,A5100337861,Jing Li,Jing Li,1,16,6.25,2022,2022,1,https://orcid.org/0000-0002-5450-8155,High,1,0
2237,A5100380980,Jing Li,Jing Li,1,39,2.56,2023,2023,1,https://orcid.org/0000-0002-2326-8750,High,1,0
2238,A5100386749,Jing Li,Jing Li,1,8,12.5,2010,2010,1,https://orcid.org/0000-0002-9209-5937,High,1,0
2239,A5100439965,Jing Li,Jing Li,1,134,0.75,2021,2021,6,https://orcid.org/0009-0008-1301-2533,High,1,0
2240,A5100600786,Jing Li,Jing Li,1,25,4.0,2011,2011,0,https://orcid.org/0000-0003-0008-3427,High,1,0
2241,A5100617097,Jing Li,Jing Li,1,266,0.38,2013,2013,0,https://orcid.org/0000-0002-9283-3821,High,1,0
2242,A5100646609,Jing Li,Jing Li,1,97,1.03,2023,2023,2,https://orcid.org/0000-0002-4464-1008,High,1,0
2243,A5100726190,Jing Li,Jing Li,1,44,2.27,2025,2025,1,https://orcid.org/0000-0002-6018-3502,High,1,0
2244,A5100775905,Jing Li,Jing Li,1,36,2.78,2023,2023,2,https://orcid.org/0000-0002-1500-4288,High,1,0
2245,A5100775907,Jing Li,Jing Li,1,241,0.41,2011,2011,0,https://orcid.org/0000-0002-8168-2466,High,1,0
2246,A5100775910,Jing Li,Jing Li,1,89,1.12,2022,2022,1,https://orcid.org/0000-0002-9734-4402,High,1,0
2247,A5101436377,Jing Li,Jing Li,1,313,0.32,2015,2015,1,https://orcid.org/0000-0002-8840-8638,High,1,0
2248,A5101802385,Jing Li,Jing Li,1,23,4.35,2020,2020,0,https://orcid.org/0000-0003-1446-1142,High,1,0
2249,A5101882854,Jing Li,Jing Li,1,101,0.99,2023,2023,3,https://orcid.org/0000-0003-0716-5329,High,1,0
2250,A5109875525,Jing Li,Jing Li,1,19,5.26,2011,2011,0,https://orcid.org/0000-0003-3937-5523,High,1,0
2251,A5115589185,Jing Li,Jing Li,1,773,0.13,2023,2023,1,https://orcid.org/0000-0001-9593-6765,High,1,0
2252,A5006774419,Jing Liu,Jing Liu,1,1,100.0,2023,2023,1,https://orcid.org/0000-0003-3938-805X,High,1,0
2253,A5021789427,Jing Liu,Jing Liu,1,3,33.33,2023,2023,1,https://orcid.org/0000-0003-1613-6378,High,1,0
2254,A5070720939,Jing Liu,Jing Liu,1,4,25.0,2023,2023,2,https://orcid.org/0000-0001-6359-9442,High,1,0
2255,A5077083938,Jing Liu,Jing Liu,1,106,0.94,2026,2026,3,https://orcid.org/0000-0002-4313-7272,High,1,0
2256,A5082687712,Jing Liu,Jing Liu,1,415,0.24,2020,2020,6,https://orcid.org/0000-0002-0493-296X,High,1,0
2257,A5100374916,Jing Liu,Jing Liu,1,35,2.86,2011,2011,0,https://orcid.org/0000-0001-5447-9334,High,1,0
2258,A5100374917,Jing Liu,Jing Liu,1,832,0.12,2021,2021,1,https://orcid.org/0000-0001-5588-3865,High,1,0
2259,A5100374926,Jing Liu,Jing Liu,1,510,0.2,2023,2023,2,https://orcid.org/0000-0001-6520-9612,High,1,0
2260,A5100374954,Jing Liu,Jing Liu,1,18,5.56,2023,2023,1,https://orcid.org/0000-0001-9929-4632,High,1,0
2261,A5100374964,Jing Liu,Jing Liu,1,147,0.68,2023,2023,1,https://orcid.org/0000-0002-0958-5506,High,1,0
2262,A5100374972,Jing Liu,Jing Liu,1,32,3.12,2023,2023,2,https://orcid.org/0000-0002-1359-9812,High,1,0
2263,A5100374974,Jing Liu,Jing Liu,1,26,3.85,2019,2019,2,https://orcid.org/0000-0002-1712-2966,High,1,0
2264,A5100374997,Jing Liu,Jing Liu,1,89,1.12,2023,2023,2,https://orcid.org/0000-0002-3483-8990,High,1,0
2265,A5100374998,Jing Liu,Jing Liu,1,1596,0.06,2024,2024,4,https://orcid.org/0000-0002-3588-2969,High,1,0
2266,A5100375028,Jing Liu,Jing Liu,1,195,0.51,2011,2011,0,https://orcid.org/0000-0002-6258-0958,High,1,0
2267,A5100375035,Jing Liu,Jing Liu,1,289,0.35,2023,2023,1,https://orcid.org/0000-0002-6720-2171,High,1,0
2268,A5100375039,Jing Liu,Jing Liu,1,15,6.67,2009,2009,0,https://orcid.org/0000-0002-6841-0474,High,1,0
2269,A5100375041,Jing Liu,Jing Liu,1,27,3.7,2024,2024,1,https://orcid.org/0000-0002-7243-4022,High,1,0
2270,A5100375053,Jing Liu,Jing Liu,1,113,0.88,2024,2024,3,https://orcid.org/0000-0002-7962-3096,High,1,0
