openalex_author_id,author,publisher,unique_retracted_papers
A5013925708,Lin Zhang,Scientific.net,1
A5013928979,Jun Yang,Hindawi,1
A5014023805,Jie Chen,Hindawi,1
A5014031610,Gang Li,Wiley,1
A5014102697,Lei Li,Hindawi,1
A5014135483,Ying Li,Springer - Nature Publishing Group,1
A5014223967,Chao Wang,Hindawi,1
A5014231537,Ying Wang,Hindawi,1
A5014247970,Yong Wang,Taylor and Francis - Dove Press,1
A5014292481,Jing Yang,IOS Press (bought by Sage November 2023),1
A5014322283,Yan Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5014354722,Chao Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5014414658,Gang Wang,Hindawi,1
A5014470051,Bo Zhang,Hindawi,1
A5014528687,Tao Zhang,Hindawi,1
A5014610739,Jing Wang,Wiley,1
A5014850606,Lei Zhang,Hindawi,1
A5015003653,Wei Li,Hindawi,1
A5015005775,Ying Liu,Hindawi,1
A5015022905,Li Wang,Taylor and Francis,1
A5015090617,Jie Chen,Hindawi,1
A5015200260,Jun Liu,Hindawi,1
A5015240075,T. Liu,International Union of Crystallography,1
A5015262601,Wei Li,Hindawi,1
A5015270944,Jian Zhang,Taylor and Francis - Dove Press,1
A5015316618,Yan Liu,Hindawi,1
A5015316618,Yan Liu,Springer - Nature Publishing Group,1
A5015400531,Bo Li,Portland Press,1
A5015412414,Hao Wang,"National Institute of Infectious Diseases, Japanese",1
A5015554999,Nan Li,Hindawi,1
A5015620665,Wei Zhao,American Chemical Society (ACS),1
A5015648401,Ying Liu,Hindawi,1
A5015648581,Qi Wang,Hindawi,1
A5015675820,Qiang Li,Hindawi,1
A5015833745,Wei Zhao,Hindawi,2
A5015857920,Jing Li,Hindawi,1
A5015873217,Michael Heck,Springer - Nature Publishing Group,59
A5015873217,Michael Heck,Elsevier,1
A5015996319,Ling Wang,PLoS,2
A5016017312,Fang Wang,Hindawi,1
A5016017312,Fang Wang,Portland Press,1
A5016017312,Fang Wang,Royal Society of Chemistry (RSC),1
A5016138743,Lei Zhang,Hindawi,2
A5016204133,D. Liakopoulos,Brill,6
A5016222194,Jun Chen,Hindawi,1
A5016243849,Jie Li,Hindawi,1
A5016295569,Hong Zhang,Hindawi,1
A5016487886,Lei Zhang,SAGE Publications,1
A5016525604,Bo Li,Hindawi,2
A5016603642,Lei Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5016607393,Jin Zhang,PLoS,1
A5016661007,Peng Li,Frontiers,1
A5016670060,Jing Zhao,Hindawi,1
A5016789476,Hui Zhang,Hindawi,1
A5016817473,Jing Zhao,Institute of Art and Law,1
A5016838980,Jun Yang,Elsevier,1
A5016846133,Jie Wang,Taylor and Francis - Dove Press,1
A5016896263,Min Wang,Hindawi,2
A5016899308,Yang Zhang,Hindawi,1
A5016959602,YOSHITAKA FUJII,Wiley,1
A5016970221,Jing Li,Hindawi,1
A5017128990,Yan Zhang,Hindawi,2
A5017212315,Yü Liu,PLoS,1
A5017505207,Jing Yang,IEEE: Institute of Electrical and Electronics Engineers,1
A5017585343,Li Lei,IEEE: Institute of Electrical and Electronics Engineers,1
A5017624626,Yu Wang,Hindawi,1
A5017964223,Peng Li,Hindawi,1
A5017995918,J. Zhang,Wiley,1
A5018012012,Gang Li,Hindawi,1
A5018012012,Gang Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5018012012,Gang Li,Wolters Kluwer - Lippincott Williams & Wilkins,1
A5018029635,Li Wang,Hindawi,1
A5018073436,Hui Liu,Hindawi,1
A5018203674,Yan Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5018216497,Yan Li,Hindawi,1
A5018393696,Bin Zhang,Hindawi,1
A5018460987,Rui Wang,IEEE: Institute of Electrical and Electronics Engineers,2
A5018460987,Rui Wang,Association for Computing Machinery (ACM),1
A5018471110,Xin Zhang,Taylor and Francis,1
A5018534416,Min Wang,Royal Society of Chemistry (RSC),1
A5018679281,Xi Chen,IEEE: Institute of Electrical and Electronics Engineers,1
A5018805981,L Wang,Wiley,1
A5019138834,Y Wang,Taylor and Francis,1
A5019149037,Li Wang,Hindawi,1
A5019152108,Ying Li,Hindawi,1
A5019378283,Jun Chen,IEEE: Institute of Electrical and Electronics Engineers,3
A5019663287,Jie Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5019733640,Jun Wang,Hindawi,1
A5019794077,Jun Chen,Hindawi,1
A5019802003,Lei Wang,Springer,1
A5019822259,Hui Zhang,Hindawi,2
A5019823979,Ming Li,IOP Publishing,1
A5019869278,Ying Zhang,Hindawi,1
A5019989501,Q Li,BMJ Publishing,1
A5020200923,Jian Li,Chinese Chemical Society Publishing,1
A5020322897,Jun Wang,IOS Press (bought by Sage November 2023),1
A5020354230,Yan Zhang,Hindawi,1
A5020394491,Feng Li,Hindawi,1
A5020713910,Yang Liu,Hindawi,1
A5020749950,Jin Wang,Hindawi,1
A5020755753,Wei Zhao,Hindawi,1
A5020969863,Yang Wang,Hindawi,1
