openalex_author_id,author,reason,unique_retracted_papers
A5005049433,Hui Wang,Breach of Policy by Author,1
A5005049433,Hui Wang,Date of Article and/or Notice Unknown,1
A5005049433,Hui Wang,Notice - Limited or No Information,1
A5005075928,Jing Zhang,Compromised Peer Review,1
A5005075928,Jing Zhang,Paper Mill,1
A5005075928,Jing Zhang,Unreliable Results and/or Conclusions,1
A5005112871,Jing Yang,Duplication of/in Image,1
A5005112871,Jing Yang,Manipulation of Images,1
A5005208943,Ping Wang,Breach of Policy by Author,1
A5005208943,Ping Wang,Date of Article and/or Notice Unknown,1
A5005208943,Ping Wang,Notice - Limited or No Information,1
A5005433863,Lin Wang,Compromised Peer Review,1
A5005433863,Lin Wang,Paper Mill,1
A5005433863,Lin Wang,Unreliable Results and/or Conclusions,1
A5005528787,Jing Li,Notice - Limited or No Information,1
A5005691416,Dan Wang,Computer-Aided Content or Computer-Generated Content,1
A5005691416,Dan Wang,Concerns/Issues about Data,1
A5005691416,Dan Wang,Concerns/Issues about Peer Review,1
A5005691416,Dan Wang,Concerns/Issues about Referencing/Attributions,1
A5005691416,Dan Wang,Concerns/Issues about Results and/or Conclusions,1
A5005691416,Dan Wang,Paper Mill,1
A5005691416,Dan Wang,Unreliable Results and/or Conclusions,1
A5005746172,Hao Wang,Computer-Aided Content or Computer-Generated Content,1
A5005746172,Hao Wang,Concerns/Issues about Data,1
A5005746172,Hao Wang,Concerns/Issues about Peer Review,1
A5005746172,Hao Wang,Concerns/Issues about Referencing/Attributions,1
A5005746172,Hao Wang,Concerns/Issues about Results and/or Conclusions,1
A5005746172,Hao Wang,Paper Mill,1
A5005746172,Hao Wang,Unreliable Results and/or Conclusions,1
A5005804072,Jun Zhang,Computer-Aided Content or Computer-Generated Content,2
A5005804072,Jun Zhang,Concerns/Issues about Data,2
A5005804072,Jun Zhang,Concerns/Issues about Peer Review,2
A5005804072,Jun Zhang,Concerns/Issues about Referencing/Attributions,2
A5005804072,Jun Zhang,Concerns/Issues about Results and/or Conclusions,2
