source_openalex_author_id,canonical_openalex_author_id,canonical_author,profile_group_size,decision
A5029116476,A5029116476,Jian Xu,1,Exact DOI-level match
A5029249465,A5029249465,Xin Zhang,1,Exact DOI-level match
A5029268538,A5027036101,Joachim Boldt,2,Merged 2 OpenAlex profiles
A5029294552,A5029294552,Yan Li,1,Exact DOI-level match
A5029326219,A5029326219,T. Liu,7,Merged 7 profile fragments; full name unresolved
A5029386533,A5029386533,Bo Wang,1,Exact DOI-level match
A5029601647,A5029601647,Pei Liu,1,Exact DOI-level match
A5029717979,A5029717979,Diederik A. Stapel,1,Exact DOI-level match
A5029860349,A5029860349,Yan Chen,1,Exact DOI-level match
A5029911992,A5029911992,Bin Zhang,1,Exact DOI-level match
A5029918685,A5029918685,Yan Wang,1,Exact DOI-level match
A5029930363,A5029930363,Xin Li,1,Exact DOI-level match
A5029967759,A5029967759,Jun Wang,1,Exact DOI-level match
A5029996983,A5029996983,Jing Chen,1,Exact DOI-level match
A5030168404,A5030168404,Bin Wang,1,Exact DOI-level match
A5030220372,A5030220372,Jie Wang,1,Exact DOI-level match
A5030296858,A5030296858,Hao Wang,1,Exact DOI-level match
A5030335492,A5030335492,Yan Zhang,1,Exact DOI-level match
A5030361217,A5030361217,Hao Zhang,1,Exact DOI-level match
A5030450451,A5030450451,Ying Liu,1,Exact DOI-level match
A5030551183,A5030551183,Bin Wang,1,Exact DOI-level match
A5030625908,A5030625908,Tao Li,1,Exact DOI-level match
A5030686595,A5030686595,Jun Yang,1,Exact DOI-level match
A5030715283,A5030715283,M. Ghoranneviss,2,Merged 2 OpenAlex profiles
A5030823415,A5030823415,Yang Li,1,Exact DOI-level match
A5030853272,A5030853272,Jin Zhang,1,Exact DOI-level match
A5030932645,A5030932645,Feng Li,1,Exact DOI-level match
A5030943557,A5030943557,Zhang Jin,1,Exact DOI-level match
A5030964174,A5030964174,Yu Liu,1,Exact DOI-level match
A5030965157,A5030965157,Wang Fang,1,Exact DOI-level match
A5031091204,A5031091204,Wei Wang,1,Exact DOI-level match
A5031232338,A5031232338,Wei Liu,1,Exact DOI-level match
A5031327561,A5031327561,Yoshitaka Fujii,2,Merged 2 OpenAlex profiles
A5031388726,A5031388726,Jin Zhang,1,Exact DOI-level match
A5031426722,A5031426722,Bo Wang,1,Exact DOI-level match
A5031540238,A5031540238,Jing Yang,1,Exact DOI-level match
A5031646526,A5031646526,Jing Zhang,1,Exact DOI-level match
A5031733486,A5031733486,Rui Zhang,1,Exact DOI-level match
A5031774812,A5031774812,Jun Yang,1,Exact DOI-level match
A5032071700,A5032071700,Tao Liu,1,Exact DOI-level match
A5032073958,A5032073958,Dan Wang,1,Exact DOI-level match
A5032161264,A5032161264,Jie Li,1,Exact DOI-level match
A5032165975,A5032165975,Hui Liu,1,Exact DOI-level match
A5032276114,A5032276114,Jing Wang,1,Exact DOI-level match
A5032306716,A5032306716,Lei Zhang,1,Exact DOI-level match
A5032345419,A5032345419,Hui Zhang,1,Exact DOI-level match
A5032355023,A5032355023,Yu Wang,1,Exact DOI-level match
